
#A: Ration of training examples to be used 
#   from the examples except for the test example 
#   (we test the predictive accuracy with a leave-one-out strategy) 
#B: Dualization time [msec] 
#   (The executing time for computing the bottom theory)
#C: Generalization time [msec]
#   (The executing time for computing a hypothesis with the heuristic search)
#D: Predictive accuracy
#   (If the hypothesis can explain the test example, then D = 100; otherwise 0)
#E: The average of the predictive accuracy among the hypotheses 
#   (This is useful only for using CF-induction with the enumeration mode)

#A,#B,#C,#D,#E 
0.2,3970,922,0,0
0.2,3988,5979,0,0
0.2,3980,5981,0,0
0.2,3975,3080,0,0
0.2,3981,1925,0,0
0.2,3882,4628,0,0
0.2,3948,1924,0,0
0.2,3939,3132,100,100
0.2,3945,921,0,0
0.2,3954,3920,0,0
0.3,4364,55993,100,100
0.3,4422,92429,100,100
0.3,4462,3832,0,0
0.3,4366,4311,0,0
0.3,4454,121994,100,100
0.3,4419,44169,100,100
0.3,4399,120214,100,100
0.3,4390,3026,0,0
0.3,4372,67329,100,100
0.3,4386,48688,100,100
0.4,4886,58064,100,100
0.4,4892,78653,100,100
0.4,4684,76124,100,100
0.4,4812,62928,100,100
0.4,4791,61248,100,100
0.4,4700,78730,100,100
0.4,4702,126031,100,100
0.4,4655,53597,100,100
0.4,4985,82284,100,100
0.4,4945,96288,100,100
0.5,4721,97401,100,100
0.5,4711,63738,100,100
0.5,4987,73793,100,100
0.5,4697,143847,100,100
0.5,4858,60762,100,100
0.5,4663,113025,100,100
0.5,4817,70290,100,100
0.5,4793,63127,100,100
0.5,4706,61817,100,100
0.5,4724,69058,100,100
0.6,4831,55111,100,100
0.6,4885,71267,100,100
0.6,4831,79001,100,100
0.6,4794,55982,100,100
0.6,4804,203936,100,100
0.6,4850,99732,100,100
0.6,4848,149636,100,100
0.6,4893,180416,100,100
0.6,4791,67053,100,100
0.6,4772,104011,100,100
0.7,4937,68154,100,100
0.7,4827,80897,100,100
0.7,4789,122394,100,100
0.7,5131,105946,100,100
0.7,4846,80694,100,100
0.7,4864,111601,100,100
0.7,4929,63960,100,100
0.7,4826,79204,100,100
0.7,4873,75054,100,100
0.7,4810,45876,100,100
0.8,4939,60352,100,100
0.8,4848,89595,100,100
0.8,4848,102319,100,100
0.8,4889,53245,100,100
0.8,4770,79026,100,100
0.8,4856,46074,100,100
0.8,4895,54242,100,100
0.8,4838,91029,100,100
0.8,4864,53804,100,100
0.8,4959,53478,100,100
0.9,4900,79350,100,100
0.9,4871,78517,100,100
0.9,4850,72862,100,100
0.9,4985,78202,100,100
0.9,4876,53800,100,100
0.9,5036,86620,100,100
0.9,4863,250128,100,100
0.9,4841,81397,100,100
0.9,4860,231387,100,100
0.9,4995,154441,100,100
1.0,4897,223077,100,100
1.0,4931,73641,100,100
1.0,4847,251030,100,100
1.0,4909,78902,100,100
1.0,4851,247739,100,100
1.0,4920,131995,100,100
1.0,5089,78950,100,100
1.0,4998,69625,100,100
1.0,5089,65068,100,100
1.0,4967,60501,100,100
0.2,357,215,0,0
0.2,356,217,0,0
0.2,354,215,0,0
0.2,347,217,0,0
0.2,349,216,0,0
0.2,357,215,0,0
0.2,355,218,0,0
0.2,353,220,0,0
0.2,355,219,0,0
0.2,356,217,0,0
0.3,351,251,0,0
0.3,356,248,0,0
0.3,358,251,0,0
0.3,357,251,0,0
0.3,345,249,0,0
0.3,356,251,0,0
0.3,347,287,0,0
0.3,356,283,100,100
0.3,354,249,0,0
0.3,346,248,0,0
0.4,352,353,0,0
0.4,360,383,0,0
0.4,362,382,100,100
0.4,359,304,0,0
0.4,357,300,0,0
0.4,340,244,0,0
0.4,356,337,0,0
0.4,358,327,0,0
0.4,355,304,100,100
0.4,357,304,100,100
0.5,351,392,0,0
0.5,360,333,0,0
0.5,357,383,0,0
0.5,356,368,100,100
0.5,356,449,0,0
0.5,358,342,0,0
0.5,350,391,0,0
0.5,356,310,0,0
0.5,358,321,0,0
0.5,350,380,0,0
0.6,363,519,100,100
0.6,359,607,0,0
0.6,349,486,0,0
0.6,354,536,0,0
0.6,355,360,0,0
0.6,358,447,100,100
0.6,357,344,100,100
0.6,356,511,100,100
0.6,357,530,100,100
0.6,357,484,100,100
0.7,361,376,0,0
0.7,359,424,100,100
0.7,360,577,100,100
0.7,360,410,0,0
0.7,357,546,100,100
0.7,359,395,0,0
0.7,359,649,0,0
0.7,356,513,100,100
0.7,358,611,0,0
0.7,356,605,100,100
0.8,359,746,0,0
0.8,360,422,0,0
0.8,348,546,0,0
0.8,357,400,100,100
0.8,362,800,100,100
0.8,362,587,100,100
0.8,360,411,0,0
0.8,358,580,100,100
0.8,356,711,100,100
0.8,361,411,0,0
0.9,361,622,100,100
0.9,357,1304,0,0
0.9,488,665,0,0
0.9,359,471,0,0
0.9,359,529,100,100
0.9,360,661,0,0
0.9,360,540,0,0
0.9,359,498,100,100
0.9,358,940,100,100
0.9,358,670,100,100
1.0,358,556,100,100
1.0,363,663,100,100
1.0,368,1107,100,100
1.0,360,1556,100,100
1.0,360,633,100,100
1.0,358,545,100,100
1.0,359,639,100,100
1.0,362,460,0,0
1.0,360,620,100,100
1.0,361,1411,0,0
